Unique ID,Post,Labels Set,cleaned_text
435," मर हसब स त जनह क अकल क गलत नह थ जनन त एक नत थ ज मसलमन क असलयत क पहचन गय क मसलमन इतन कमन कम ह क व कस दश क सग नह ह सकत और 1946 म 98 मसलमन न इसलमक दश क लए मसलम लग क वट दय पर कमन कम गई नह भरत स 
 ","hate,offensive",मर हसब स त जनह क अकल क गलत नह थ जनन त नत थ ज मसलमन क असलयत क पहचन गय क मसलमन इतन कमन कम ह क व कस दश क सग नह ह सकत म मसलमन न इसलमक दश क लए मसलम लग क वट दय कमन कम गई नह भरत स
436,"परणब द जब अतम सफर पर ह त उनक एक तसवर हमश यद आएग  PranabMukherjee 
",non-hostile,परणब द अतम सफर ह त उनक तसवर हमश यद आएग
437,"करन क डर दख कर अग तसकर क खबर भ आ रह ह 
शव क वडयगरफ परजन क सप सरकर  ",non-hostile,करन क डर दख अग तसकर क खबर भ आ रह ह शव क वडयगरफ परजन क सप सरकर
438,AarPaar चन क गरर सन न कय चरचर ,non-hostile,चन क गरर सन न कय चरचर
439,"चनव आयग बहर म चनव करन  म आमद कय ह सध मतलब bjp क जतन क  महमर म पलस amp सरकर ततर पकषपत करन म आजद रहग जस एनट CAA क वरध करन वल क जल म डल दन
",non-hostile,चनव आयग बहर म चनव करन म आमद कय ह सध मतलब क जतन क महमर म पलस सरकर ततर पकषपत करन म आजद रहग जस एनट क वरध करन वल क जल म डल दन
440,करन वयरस क शरत पत चल गय ह यह मलम हआ ह क हबई चन क कई छत करसथमम चमगदड़ स भर हई ह,fake,करन वयरस क शरत पत चल गय ह मलम हआ ह क हबई चन क कई छत करसथमम चमगदड़ स भर हई ह
441,"अगर आपक लगत ह क गलसबयनबइसकशअलएसकशअल हन
मनसक बमर ह
भरम य महज एक फज ह
अपरकतक ह
फशन य टरड हत य वडय आपक लए ह ह आज अपन य सर गलफहमय दर कर लजए

वडय नवन नगबशर शख ",non-hostile,अगर आपक लगत ह क गलसबयनबइसकशअलएसकशअल हन मनसक बमर ह भरम य महज फज ह अपरकतक ह फशन य टरड हत य वडय आपक लए ह ह आज अपन य सर गलफहमय दर लजए वडय नवन नगबशर शख
442,"यह एक 23 सल परन टलवजन कलप ह यह नतय अनकरम क करण दलचसप नह ह बलक इस तथय क लए क यह लडक फरस क वरतमन रषटरपत इमनअल मकरन ह और महल डसर उसक शकषक और उसक वरतमन पतन ह 

",fake,सल परन टलवजन कलप ह नतय अनकरम क करण दलचसप नह ह बलक तथय क लए क लडक फरस क वरतमन रषटरपत इमनअल मकरन ह महल डसर उसक शकषक उसक वरतमन पतन ह
443,जनए Unlock4 क तहत कटनमट जन स बहर क कषतर म कन गतवधय क मल अनमत   ,non-hostile,जनए क तहत कटनमट जन स बहर क कषतर म कन गतवधय क मल अनमत
444,हरयण कवड19 अपडट ,non-hostile,हरयण कवड अपडट
445,"अपन ह घर क पछवड स भगत इस वयकत क पहचनत ह
 हट  एक भजप शसत  रजय क मखयमतर ह
बझ त मन ",offensive,अपन ह घर क पछवड स भगत वयकत क पहचनत ह हट भजप शसत रजय क मखयमतर ह बझ त मन
446,"कशमर पर आतक अल जवहर क वडय पर भरत न कह ऐस धमकय मलत रहत ह सरयसल नह लन चहए

 ",non-hostile,कशमर आतक अल जवहर क वडय भरत न कह ऐस धमकय मलत रहत ह सरयसल नह लन चहए
447,"उततर परदश क मखयमतर यग आदतयनथ न परदश क गह मतरलय और पलस वभग क नरदश दए ह क लव जहद स जड ममल क रकन क हरसभव परयस कए जए परदश सरकर क जनकरय क मतबक यप म कथत तर पर ऐस ममल बढ ह

",non-hostile,उततर परदश क मखयमतर यग आदतयनथ न परदश क गह मतरलय पलस वभग क नरदश दए ह क लव जहद स जड ममल क रकन क हरसभव परयस कए जए परदश सरकर क जनकरय क मतबक यप म कथत तर ऐस ममल बढ ह
448,"महल क मह स डकटर न नकल चर फट लब सप वडय वयरल
ViralVideo Doctor Snake Russia 
",non-hostile,महल क मह स डकटर न नकल चर फट लब सप वडय वयरल
449," शरआत सकरमण क खतर क पहचनन और सकरमण क वरदध वयकत एव समदय क सरकष परदन करत ह ACS गह व सचन शर  ज

",non-hostile,शरआत सकरमण क खतर क पहचनन सकरमण क वरदध वयकत एव समदय क सरकष परदन करत ह गह व सचन शर ज
450,"ZillaHilela गन म दख एल अवरम और सदधरथ मलहतर क जबरय जड दस ठमक न जत दल दख Video Song



  jabriyajodi",non-hostile,गन म दख एल अवरम सदधरथ मलहतर क जबरय जड दस ठमक न जत दल दख
451,जवद न इस टवट क जरए फर नफरत फलन क कम कय ह,fake,जवद न टवट क जरए फर नफरत फलन क कम कय ह
452,facebookcompramodsingh7127146 य परमद सह ज क फसबक आईड ह जस पर एक वडओ डल गय ह जसम अब आजम और मबई पलस  व सजद भई क समरथन म नर लगए ज रह ह जस इनहन  पकसतन जदबद बतय ह जसस गलत सदश जत ह  इस पर करयवह कर,"hate,offensive",य परमद सह ज क फसबक आईड ह जस वडओ डल गय ह जसम अब आजम मबई पलस व सजद भई क समरथन म नर लगए ज रह ह जस इनहन पकसतन जदबद बतय ह जसस गलत सदश जत ह करयवह
453,"समरट सट हर घर क आग सबक अलग अलग सवमग पल बनन वल पहल शहर
रहल_गध क ससदय कषतर वयनड बन दश क पहल समरट सट 
हर घर क आग सबक अलग अलग सवमग पल बनन वल पहल शहर 
",fake,समरट सट हर घर क आग सबक अलग अलग सवमग पल बनन वल पहल शहर रहलगध क ससदय कषतर वयनड बन दश क पहल समरट सट हर घर क आग सबक अलग अलग सवमग पल बनन वल पहल शहर
454,"सशत क वसर म जहर हन क जच
Video SushantSinghRajput 
",non-hostile,सशत क वसर म जहर हन क जच
455,  वह अब वकल यद आ गय जब तर बर आत ह तब तन कनहय गददर क सज पर करट क तरफ क थ  अब कनन यद आ गय बहत बड वल कमन ह त अनरग,offensive,वह अब वकल यद आ गय तर बर आत ह तब तन कनहय गददर क सज करट क तरफ क थ अब कनन यद आ गय बहत बड वल कमन ह त अनरग
456,"बहर करन मरज क ऑकसजन बक स मल रह ह मफत ऑकसजन

जहनबद स रजत रजन क रपरट

Bihar OxygenBank Jehanabad 

",non-hostile,बहर करन मरज क ऑकसजन बक स मल रह ह मफत ऑकसजन जहनबद स रजत रजन क रपरट
457,हरयण टरजम ड क हरदक शभकमनए  अतथ दव भव  ,non-hostile,हरयण टरजम ड क हरदक शभकमनए अतथ दव भव
458,"रकन मउटन पर 57 सल बद फर स तरग
भरतय सन क शरय और परकरम क सदर नमन
जयहदकसन
IndianArmy
IndianSoldiers ",non-hostile,रकन मउटन सल बद फर स तरग भरतय सन क शरय परकरम क सदर नमन जयहदकसन
459,"य ह इस गरह क चलचरतर
Patanjali is BJP office
कभ नह कह क पतजल क करनल स करन क इलज ह सकत ह आचरय बलकषण 
Covid19 Patanjali Coronil AyushMinistry Ramdev कवड19 पतजल करनल आयषमतरलय रमदव","defamation,offensive",य ह गरह क चलचरतर कभ नह कह क पतजल क करनल स करन क इलज ह सकत ह आचरय बलकषण कवड पतजल करनल आयषमतरलय रमदव
460,"सवधन परन लपटप य फन बचन स पहल जन ल य बत   
VIDEO Technology 
",non-hostile,सवधन परन लपटप य फन बचन स पहल जन ल य बत
461,"Ayodhya म बनन वल मसजद क डजइन जमय क परफसर तयर करग
",non-hostile,म बनन वल मसजद क डजइन जमय क परफसर तयर करग
462,मखयमतर मनहर लल न आज नए शकषणक सतर म सनतक पठयकरम म परवश क लए ऑनलइन एडमशन पलटफरम लनच कय  इस पलटफरम  स छतर घर बठ ह परवश परकरय पर कर सकग ,non-hostile,मखयमतर मनहर लल न आज नए शकषणक सतर म सनतक पठयकरम म परवश क लए ऑनलइन एडमशन पलटफरम लनच कय पलटफरम स छतर घर बठ ह परवश परकरय सकग
463,"जनमन बकर उदय कटक बल बजल डमड और वहन क बकर क आकड हमर अरथवयवसथ क तकत बतत ह लकन मग पहल जस हई त य चनत हग
 IndianEconomy 
   
",non-hostile,जनमन बकर उदय कटक बल बजल डमड वहन क बकर क आकड हमर अरथवयवसथ क तकत बतत ह लकन मग पहल जस हई त य चनत हग
464,"दख भईय रलव क सबस बड भखर कस तरह रलव लइन पर भख मग रह ह थड इनह फमश कर दमर बत समझ रह ह न 
",fake,दख भईय रलव क सबस बड भखर कस तरह रलव लइन भख मग रह ह थड इनह फमश दमर बत समझ रह ह न
465,"इमम_हसन न सर कट कर दनय क हक इसनयत भई चर और जलम क आग नतमसतक न कर सर कटन बहतर समझ इसलए आज भ हसन जदबद ह
TheMessageOfKarbala 
KashmirSecondPalestine ",offensive,इममहसन न सर कट दनय क हक इसनयत भई चर जलम क आग नतमसतक न सर कटन बहतर समझ इसलए आज भ हसन जदबद ह
466,मद सरकर न 2016 म भवन नरमण और धवसत करन क लए नए नयम बनए परकश जवडकर,non-hostile,मद सरकर न म भवन नरमण धवसत करन क लए नए नयम बनए परकश जवडकर
467,"भरत सरकर क गर रजपतरत शरण क वभनन पद पर चयन क लए एककत चयन वयवसथ क नवन सवरप नयकतय म परदरशत हत अतयत उपयग सदध हग

उततर परदश सरकर भ कदर सरकर क भवनओ क अनरप यवओ क हत म इस वयवसथ क अनसरण करग",non-hostile,भरत सरकर क गर रजपतरत शरण क वभनन पद चयन क लए एककत चयन वयवसथ क नवन सवरप नयकतय म परदरशत हत अतयत उपयग सदध हग उततर परदश सरकर भ कदर सरकर क भवनओ क अनरप यवओ क हत म वयवसथ क अनसरण करग
468,"मपर करन अपडट 010920
शम 6 बज तक
पछल 24 घट म मल 1525 करन पजटव32 मतय
सवसथ हए1335
भपल म 199
इदर म 258
जबलपर म 129
गवलयर म 206 करन पजटव मल
कल पजटव65490
कल मतय 1426
सवसथ हय  49992
एकटव कस 14072
 ",non-hostile,मपर करन अपडट शम बज पछल घट म मल करन पजटव मतय सवसथ हए भपल म इदर म जबलपर म गवलयर म करन पजटव मल कल पजटव कल मतय सवसथ हय एकटव कस
469,यह उततर करय क तनशह कम जग उन क फयनरल क फटज ह,fake,उततर करय क तनशह कम जग उन क फयनरल क फटज ह
470,"रषटरपत रमनथ कवद और परधनमतर नरनदर मद आज वडय कफरस क जरए रषटरय शकष नत पर रजयपल क सममलन क उदघटन सतर क सबधत करग

सममलन क वषय ह उचच शकष म परवरतन म रषटरय शकष नत 2020 क भमक ",non-hostile,रषटरपत रमनथ कवद परधनमतर नरनदर मद आज वडय कफरस क जरए रषटरय शकष नत रजयपल क सममलन क उदघटन सतर क सबधत करग सममलन क वषय ह उचच शकष म परवरतन म रषटरय शकष नत क भमक
471,"Moto G9 य Redmi 9 Pro 12000 रपय स कम कमत म कन ह सबस बहतर
motog9 redmi9pro
",non-hostile,य रपय स कम कमत म कन ह सबस बहतर
472,"कदर और रजय सरकर क तरफ स कछकछ सवओ म हर महन छट द ज रह ह अब दलल मटर भ शर ह गई ह 7 सतबर क सबह 7 बज यल लइन और रपड मटर क हर झड दखई गई और ऐस नजर करब 169 दन बद दखन क मल
",non-hostile,कदर रजय सरकर क तरफ स कछकछ सवओ म हर महन छट द ज रह ह अब दलल मटर भ शर ह गई ह सतबर क सबह बज यल लइन रपड मटर क हर झड दखई गई ऐस नजर करब दन बद दखन क मल
473,"SushantWasMurdered  दश सलयन क हतय क बद ह रय सशत स अलग कय हई मनज तवर
 ",non-hostile,दश सलयन क हतय क बद ह रय सशत स अलग कय हई मनज तवर
474,कगन क बलवड डरग मफय वल खलस पर बल महश जठमलनएक न खडन नह कय ,non-hostile,कगन क बलवड डरग मफय वल खलस बल महश जठमलनएक न खडन नह कय
475,"महकलशवर क सरकष पर SC न सनय फसल आखर कस पर बल जसटस मशर   शव ज क कप स  

",non-hostile,महकलशवर क सरकष न सनय फसल आखर कस बल जसटस मशर शव ज क कप स
476,"सशत सह हतय ममल म मखय सदगध सदप सह समत ठकर क परडकशन कपन म सईओ रह ह 

सब बत क कनकशन जड कर दखए सब समझ आएग

SSRCulpritsBehindBars",defamation,सशत सह हतय ममल म मखय सदगध सदप सह समत ठकर क परडकशन कपन म सईओ रह ह सब बत क कनकशन जड दखए सब समझ आएग
477,"लह म लग न सपशल फरटयर फरस क जवन नम तजन क शरदधजल द 
IndiaChinaFaceOff 

",non-hostile,लह म लग न सपशल फरटयर फरस क जवन नम तजन क शरदधजल द
478,वशव सतरय सवमग पल एक और वद पर  कपय करक कजरवल ज क नम न ल,fake,वशव सतरय सवमग पल वद कपय करक कजरवल ज क नम न ल
479,"गड सवम कतत क मत मर गय
सल य घटन कब तक कलपनक रहग
 ","hate,offensive",गड सवम कतत क मत मर गय सल य घटन कब कलपनक रहग
480,दश क शरष इजनयरग कलज म परवश क लए जईई मन परकष आज स शर ,non-hostile,दश क शरष इजनयरग कलज म परवश क लए जईई मन परकष आज स शर
481,"परयवरण मतर परकश जवडकर नल आकश क लए सवचछ वय पर आज पहल अतररषटरय दवस पर आयजत वबनर क अधयकषत करग

जवडकर इस वबनर क दरन रषटरय सवचछ_वय करयकरम क अतरगत आरभ गतवधय क भ समकष करग ",non-hostile,परयवरण मतर परकश जवडकर नल आकश क लए सवचछ वय आज पहल अतररषटरय दवस आयजत वबनर क अधयकषत करग जवडकर वबनर क दरन रषटरय सवचछवय करयकरम क अतरगत आरभ गतवधय क भ समकष करग
482,चन सनक न भरतय जवन पर हमल करन क लए इस धरदर हथयर क इसतमल कय ह,fake,चन सनक न भरतय जवन हमल करन क लए धरदर हथयर क इसतमल कय ह
483,"जन बहर क कटहर सथत सख क 9व गर तग बहदर क गरदवर क पर कहन

",non-hostile,जन बहर क कटहर सथत सख क व गर तग बहदर क गरदवर क कहन
484,"हक क जदगर पदम भषण मजर धयनचद ज क गरवपरण समत क समरपत रषटरय खल दवस क अवसर पर खल क वभनन वधओ म वशवक मच पर भरत क गरम वदध करन वल सभ खलडय क परत सदर कतजञत जञपन

नवदत खलडय क उजजवल भवषय क शभकमनए",non-hostile,हक क जदगर पदम भषण मजर धयनचद ज क गरवपरण समत क समरपत रषटरय खल दवस क अवसर खल क वभनन वधओ म वशवक मच भरत क गरम वदध करन वल सभ खलडय क परत सदर कतजञत जञपन नवदत खलडय क उजजवल भवषय क शभकमनए
485,  हजड कमन गरगट बरड,hate,हजड कमन गरगट बरड
486,"यतरय क लए अचछ खबररलव अनलक4 म जलद ह 100 और टरन चलन क तयर कर रह मजद समय म 230 सपशल टरन चलई ज रह


 coronaupdatesonbhaskar",non-hostile,यतरय क लए अचछ खबररलव अनलक म जलद ह टरन चलन क तयर रह मजद समय म सपशल टरन चलई ज रह
487,"एक महल क छट स बचच क पर क अपन पर स कचलत हए दखय गय ह और फर व धरधर बचच क चहर छत और शरण कषतर क पर स कचलत ह और बद म बचच क मह पर बठ जत ह

",fake,महल क छट स बचच क क अपन स कचलत हए दखय गय ह फर व धरधर बचच क चहर छत शरण कषतर क स कचलत ह बद म बचच क मह बठ जत ह
488,"थम नह रह शवसन और कगन रनत क बच जबन जग अभनतर क मनसक सथत क लकर क टपपण
ShivSena Saamana KanganaRanaut 
",non-hostile,थम नह रह शवसन कगन रनत क बच जबन जग अभनतर क मनसक सथत क लकर क टपपण
489,"भजप क वरषठ नत एव कदरय कनन मतर शर  ज क जनमदवस क शभकमनए 

भरतय लकततर स तनतलक जस वकत क दर कर आपन दश क लख महलओ क सममन लटय ह 

ईशवर स आपक सवसथ सदरघ व सखमय जवन क कमन करत ह ",non-hostile,भजप क वरषठ नत एव कदरय कनन मतर शर ज क जनमदवस क शभकमनए भरतय लकततर स तनतलक जस वकत क दर आपन दश क लख महलओ क सममन लटय ह ईशवर स आपक सवसथ सदरघ व सखमय जवन क कमन करत ह
490,"लदन क भतज बल टरप हर त हग 911 जस हमल
USA WorldNews
",non-hostile,लदन क भतज बल टरप हर त हग जस हमल
491,"मनसन क वरतमन सथत और परवनमन पर  क महनदशक मतयजय महपतर क परस वरत
Monsoon

WATCH  ",non-hostile,मनसन क वरतमन सथत परवनमन क महनदशक मतयजय महपतर क परस वरत
492,"Pranab Mukharjee Death जन परणब द क कलरक स दश क रषटरपत बनन क पर कहन
PranabMukherjee pranabda PranabMukherjeePassesAway 
",non-hostile,जन परणब द क कलरक स दश क रषटरपत बनन क कहन
493,"अभ रलव सपशल टरन क नम पर 230 एकसपरस टरन चल रह ह जनम 30 रजधन भ शमल ह
",non-hostile,अभ रलव सपशल टरन क नम एकसपरस टरन चल रह ह जनम रजधन भ शमल ह
494,  पप अधरम  मनहस कलक क जनमदन क बधई दन क जररत नह इसन सर सरकर ससथ क अदन  अबन क हथ बच द दश क गरब भखमर बरजगर भरषटचर म धकल कर 100 सल दश क पछ कर द भरत क लग क जदग नरक म बदल द ऐस लग क जनमदन क कई मबरकबद नह,"defamation,hate",पप अधरम मनहस कलक क जनमदन क बधई दन क जररत नह इसन सर सरकर ससथ क अदन अबन क हथ बच द दश क गरब भखमर बरजगर भरषटचर म धकल सल दश क पछ द भरत क लग क जदग नरक म बदल द ऐस लग क जनमदन क कई मबरकबद नह
495,कपस वरध म जएनय क छतरओ दवर इसतमल क जन वल अधकश अशलल भष  और हम जएनय म उनक पढई क सबसड दन क लए टकस क भगतन करत ह  जएनय नमक यह ससथन जलद स जलद बद हन ह चहए,"hate,offensive",कपस वरध म जएनय क छतरओ दवर इसतमल क जन वल अधकश अशलल भष हम जएनय म उनक पढई क सबसड दन क लए टकस क भगतन करत ह जएनय नमक ससथन जलद स जलद बद हन ह चहए
496,"कब खतम करग सशत बहत पट डरम नयज वल कमन ससकर कह स लत ह

बद कर डरम",offensive,कब खतम करग सशत बहत पट डरम नयज वल कमन ससकर कह स लत ह बद डरम
497,"ReportForSSR  कय आपक पत नह क रज रत क पबएडपरट कन करत ह भजप महरषटर परवकत शवत शलन न रजनतक वशलषक अजय अरड स पछ

दखए पछत ह भरत अरनब क सथ रपबलक भरत पर LIVE   ",non-hostile,कय आपक पत नह क रज रत क पबएडपरट कन करत ह भजप महरषटर परवकत शवत शलन न रजनतक वशलषक अजय अरड स पछ दखए पछत ह भरत अरनब क सथ रपबलक भरत
498,दश म टसटग बढन पर जर दरदरज क इलक म करन क नमन क जच जर टसट टरक और टरट क नत अपनई ज रह ह एनएबएच हसपटल और एनएबएल लब क एटजन टसट करन क मजर आईसएमआर ,non-hostile,दश म टसटग बढन जर दरदरज क इलक म करन क नमन क जच जर टसट टरक टरट क नत अपनई ज रह ह एनएबएच हसपटल एनएबएल लब क एटजन टसट करन क मजर आईसएमआर
499,अब पजब म अनचछद 370 लग करन क मग उठ रह ह लग अनचछद370 क समरथन म नर लगत दख रह ह,fake,अब पजब म अनचछद लग करन क मग उठ रह ह लग अनचछद क समरथन म नर लगत दख रह ह
500,"रजधन दलल क आजदपर सबज मड क वकरतओ क कहन ह क दश क कछ हसस म लगतर बरश और बढ क करण सपलई चन परभवत हई ह जसस फल व सबजय क दम बढ गए ह


heavyrain WeatherUpdate ",non-hostile,रजधन दलल क आजदपर सबज मड क वकरतओ क कहन ह क दश क कछ हसस म लगतर बरश बढ क करण सपलई चन परभवत हई ह जसस फल व सबजय क दम बढ गए ह
501,"रषटरय उदयमत एव लघ वयवसय एव वकस ससथन भरतय उदयमत ससथन उदयमत वकस ससथन उततर परदश और उनक परशकषण परदन करन वल क भ अनमत हग यह वयवसथ 21 सतमबर 2020 स लग हग ACS गह व सचन शर  ज

",non-hostile,रषटरय उदयमत एव लघ वयवसय एव वकस ससथन भरतय उदयमत ससथन उदयमत वकस ससथन उततर परदश उनक परशकषण परदन करन वल क भ अनमत हग वयवसथ सतमबर स लग हग गह व सचन शर ज
502,"ऑसटरलय क खलफ तसर ट20 इटरनशनल मच म नह खलग जस बटलर 
ENGvsAUS 

",non-hostile,ऑसटरलय क खलफ तसर ट इटरनशनल मच म नह खलग जस बटलर
503,कगन रनत क वई लवल क सरकष दग मद सरकर ,non-hostile,कगन रनत क वई लवल क सरकष दग मद सरकर
504,   अब सल जहल तमलग कभ भ सचचई प एक सबद भ बलत ह तमलग जब अपन बहन क चबतर बड करन स नह हचकत ह त दसर क बर म भ गलत ह सचग न,hate,अब सल जहल तमलग कभ भ सचचई प सबद भ बलत ह तमलग अपन बहन क चबतर बड करन स नह हचकत ह त दसर क बर म भ गलत ह सचग न
505,करनवयरस चन क लबरटर म तयर कय गय,fake,करनवयरस चन क लबरटर म तयर कय गय
506,"BREAKING दललअहमदबद रजधन एकसपरस म 20 यतर करन पजटव 18 म नह थ कई लकषण

",non-hostile,दललअहमदबद रजधन एकसपरस म यतर करन पजटव म नह थ कई लकषण
507,"Maharashtra म मगलवर क Coronavirus क 15765 नए ममल समन आए

",non-hostile,म मगलवर क क नए ममल समन आए
508,"परवस मजदर क ममल म महरषटर और दलल सरकर क सपरम करट क फटकर
",non-hostile,परवस मजदर क ममल म महरषटर दलल सरकर क सपरम करट क फटकर
509,"इन दन Delhi म परदषण रकरड कम सतर पर ह पछल 5 सल म यह पहल मक ह जब Air quality index 41 तक आ गय कय ह दलल म इतन कम परदषण बत रह ह दलल कषतरय मसम वभग क डयरकटर कलदप शरवसतव 
 क ReporterDiary RE ",non-hostile,इन दन म परदषण रकरड कम सतर ह पछल सल म पहल मक ह आ गय कय ह दलल म इतन कम परदषण बत रह ह दलल कषतरय मसम वभग क डयरकटर कलदप शरवसतव क
510,"सशत क दसत सबर अहमद न लगय रय पर आरप   रय न मडय स बल झठ 
SushantSinghRajputDeathCase 

",non-hostile,सशत क दसत सबर अहमद न लगय रय आरप रय न मडय स बल झठ
511,"कछ दन क बद मदज गयब
वकस_गयब_ह",defamation,कछ दन क बद मदज गयब वकसगयबह
512,"रकष मतर RajnathSingh कल रस क तन दवसय यतर क लए मसक रवन हग 
 रकष मतर करयलय ",non-hostile,रकष मतर कल रस क तन दवसय यतर क लए मसक रवन हग रकष मतर करयलय
513,"RT  भरत म मजलम क जब भ सतय जयग 
इनकलब जनदबद क नर लगय जयग 
हकमरन तकत क गलत इसतमल न क",hate,भरत म मजलम क भ सतय जयग इनकलब जनदबद क नर लगय जयग हकमरन तकत क गलत इसतमल न क
514,"अनलक4 क दशनरदश जर फलहल सकलकलज रहग बद 7 सतबर स चलग मटर
",non-hostile,अनलक क दशनरदश जर फलहल सकलकलज रहग बद सतबर स चलग मटर
515,"फक नयज क अनतरगत अब तक 2407 ममल क सजञन म लत हए करयवह क गई ह अब तक परदश म 89 एफआईआर दरज करत हए 26 लग क गरफतर कय गय ह ACS गह व सचन शर  ज

",non-hostile,फक नयज क अनतरगत अब ममल क सजञन म लत हए करयवह क गई ह अब परदश म एफआईआर दरज करत हए लग क गरफतर कय गय ह गह व सचन शर ज
516,"जपन न भरत क कवड19 आपत सहयत क रप म तन हजर पच स करड रपय क आधकरक वकस ऋण सहयत दन क वद कय ह 

अनय खबर समचर_परभत म 
",non-hostile,जपन न भरत क कवड आपत सहयत क रप म तन हजर पच स करड रपय क आधकरक वकस ऋण सहयत दन क वद कय ह अनय खबर समचरपरभत म
517,"मद ज क जत क खश म शर बजर न ज तज आई उसम मल मल हव एक गजरत म मलटन कनड म डलर उडए 
",fake,मद ज क जत क खश म शर बजर न ज तज आई उसम मल मल हव गजरत म मलटन कनड म डलर उडए
518,"नत नगर द लललनटप क सपशल वकल श जसम सरभ दववद बत कर रह ह रजदप सरदसई क सथ चटठ बम क बद कगरस म कय हग कय दश म मद नह भयकर मद क दर आन वल ह
NEETJEE ववद म कय रजनत न एटर मर

",non-hostile,नत नगर द लललनटप क सपशल वकल श जसम सरभ दववद बत रह ह रजदप सरदसई क सथ चटठ बम क बद कगरस म कय हग कय दश म मद नह भयकर मद क दर आन वल ह ववद म कय रजनत न एटर मर
519,"IndiaFightsCorona

अपन घर और अपन परवश क सवचछत बनए रख बदलकर अपन वयवहर कर करन पर वर 

TogetherAgainstCovid19 ",non-hostile,अपन घर अपन परवश क सवचछत बनए रख बदलकर अपन वयवहर करन वर
520,"RT  भरतय सन क मदज स शकयत 

हम नकल सनक स नह लडग सल बदक दखत ह मर जत ह",defamation,भरतय सन क मदज स शकयत हम नकल सनक स नह लडग सल बदक दखत ह मर जत ह
521,म वहटसएप परयग नह करत टवटर और फसबक पर मसज नह पढ पत अगर आपक नजकरण य अनय समसयओ क लकर कई रय परतकरय य समसय ह त आप मझ यह टलगरम पर जडकर अवगत कर सकत ह,hate,म वहटसएप परयग नह करत टवटर फसबक मसज नह पढ पत अगर आपक नजकरण य अनय समसयओ क लकर कई रय परतकरय य समसय ह त आप मझ टलगरम जडकर अवगत सकत ह
522,"महररम पर तजय क सथ नह नकलग जलस परशसन न जर कय आदश

Rohtas  

",non-hostile,महररम तजय क सथ नह नकलग जलस परशसन न जर कय आदश
523, तर जस हर रज बन वजह भकनवल कतय कतत क मत मरग,hate,तर जस हर रज बन वजह भकनवल कतय कतत क मत मरग
524,"सलमन खन क BIGG BOSS 2020 म नजर आएग य सतर सशल मडय पर तज हई चरच
 BiggBoss14 BiggBoss2020
",non-hostile,सलमन खन क म नजर आएग य सतर सशल मडय तज हई चरच
525,"भरतय सन क 21 सख रजमट न भरत क लए लडन स इनकर कर दय ह

",fake,भरतय सन क सख रजमट न भरत क लए लडन स इनकर दय ह
526,रसक ममल म करट क फसल इलहबद हईकरट न ड कफल खन क तरत रहई क आदश दए भडकऊ भषण क आरप म 6 महन स जल म ह  KafeelKhan   ,non-hostile,रसक ममल म करट क फसल इलहबद हईकरट न ड कफल खन क तरत रहई क आदश दए भडकऊ भषण क आरप म महन स जल म ह
527,"फरख अबदलल न कह क हम कस क कठपतल नह ह उनक बयन तब आय जब हल ह म पकसतन न जममकशमर क रजनतक परटय क उस सयकत बयन क तरफ क थ जसम अनचछद 370 क हटन क खलफ लडन क बत कह गई थ

",non-hostile,फरख अबदलल न कह क हम कस क कठपतल नह ह उनक बयन तब आय हल ह म पकसतन न जममकशमर क रजनतक परटय क उस सयकत बयन क तरफ क थ जसम अनचछद क हटन क खलफ लडन क बत कह गई थ
528,चस ओलपयड म भरत न जत गलड टम क कपतन न इस बतय 1983 करकट वशव कप जस जत ,non-hostile,चस ओलपयड म भरत न जत गलड टम क कपतन न बतय करकट वशव कप जस जत
529,परधनमतर_गरब_कलयण_यजन स गरम पचयत कपस म लगभग 73 लख 40 हजर रपए स हन वल वकस करय क भमपजनलकरपण करयकरम म मखय अतथ रव क लकपरय ससद म०  ज क सथ करयकरम अधयकष क रप म सममलत हकर भमपजनलकरपण कय ,non-hostile,परधनमतरगरबकलयणयजन स गरम पचयत कपस म लगभग लख हजर रपए स हन वल वकस करय क भमपजनलकरपण करयकरम म मखय अतथ रव क लकपरय ससद म० ज क सथ करयकरम अधयकष क रप म सममलत हकर भमपजनलकरपण कय
530,"अगर ह कस म दम त मर मछ क एक बल भ उखड क दख द
सल क घसट घसट क मरग सल गद मनसकत वल सअर क औलद
       बहजन शर सनल असतय ज
  ",hate,अगर ह कस म दम त मर मछ क बल भ उखड क दख द सल क घसट घसट क मरग सल गद मनसकत वल सअर क औलद बहजन शर सनल असतय ज
531,"भरत रतन परव रषटरपत शर परणब मखरज ज क नधन पर शक वयकत करत ह
पच दशक स भ अधक क अपन सरवजनक जवन म उनहन दश क अनकरणय सव क
ससदय व परशसनक कषतर म उनक अनभव बजड थ ज उनक करयशल म सपषट परलकषत हत थ ",non-hostile,भरत रतन परव रषटरपत शर परणब मखरज ज क नधन शक वयकत करत ह पच दशक स भ अधक क अपन सरवजनक जवन म उनहन दश क अनकरणय सव क ससदय व परशसनक कषतर म उनक अनभव बजड थ ज उनक करयशल म सपषट परलकषत हत थ
532,"CWC19 INDvsNZ वरदर सहवग न उठए एमएस धन क बललबज पजशन क लकर सवल

     ",non-hostile,वरदर सहवग न उठए एमएस धन क बललबज पजशन क लकर सवल
